Prev_Sem_Result,CGPA,Internship_Experience,Communication_Skills,Projects_Completed,Involvement,Placement,IQ
2.71,7.24,No,4,4.0,High,0,115.0
1.7200000000000006,8.49,Yes,3,5.0,Low,0,124.0
4.74,5.66,No,10,4.0,Medium,1,130.0
3.7800000000000002,6.29,Yes,6,3.0,High,1,124.0
4.01,6.39,No,9,5.0,Low,0,128.0
4.32,5.54,No,1,1.0,Medium,1,87.0
1.3699999999999992,8.79,Yes,8,2.0,Low,0,154.0
4.78,4.83,No,4,5.0,High,1,104.0
2.2300000000000004,7.48,No,6,1.0,Low,0,117.0
0.4499999999999993,9.84,No,6,4.0,Medium,1,143.0
2.59,7.48,No,7,3.0,Low,0,124.0
4.05,6.24,No,4,5.0,Medium,1,105.0
1.7799999999999994,7.9,Yes,5,5.0,Medium,0,126.0
1.5399999999999991,8.93,Yes,4,3.0,Medium,1,105.0
0.5,9.65,Yes,10,4.0,Medium,1,132.0
0.7699999999999996,8.75,No,2,4.0,High,1,108.0
1.3599999999999994,9.11,Yes,3,2.0,Low,0,114.0
1.3699999999999992,8.25,Yes,3,0.0,High,0,110.0
3.96,6.06,No,5,1.0,Low,1,100.0
0.16999999999999993,9.63,Yes,6,0.0,High,0,112.0
2.24,8.23,Yes,5,4.0,Medium,0,139.0
3.1799999999999997,7.2,No,6,2.0,High,1,111.0
4.99,5.41,No,9,1.0,High,0,111.0
4.17,6.29,No,10,1.0,High,0,105.0
3.1500000000000004,6.56,No,1,1.0,Low,0,94.0
3.84,6.57,Yes,7,,Low,0,125.0
1.0999999999999996,9.33,Yes,8,0.0,Medium,1,123.0
0.03999999999999915,10.12,No,7,4.0,Low,1,151.0
4.25,5.47,No,10,3.0,Low,0,119.0
2.59,6.93,No,3,0.0,Low,1,104.0
4.88,5.44,Yes,7,1.0,Low,0,106.0
3.0199999999999996,7.16,No,10,3.0,Medium,1,150.0
0.5800000000000001,9.64,No,5,,Medium,1,130.0
2.1799999999999997,7.68,No,1,1.0,Low,1,96.0
0.8800000000000008,9.41,No,3,5.0,Medium,0,135.0
3.8899999999999997,6.39,No,2,4.0,Low,0,94.0
3.4699999999999998,6.37,No,10,3.0,Medium,0,129.0
2.4699999999999998,7.75,No,10,,Medium,0,116.0
3.55,6.55,Yes,8,5.0,Low,0,115.0
3.3499999999999996,6.76,No,4,3.0,High,0,108.0
3.37,6.64,No,4,2.0,High,1,111.0
1.3900000000000006,9.11,Yes,7,4.0,High,0,134.0
3.45,6.36,Yes,3,4.0,Low,1,108.0
3.42,6.72,Yes,1,0.0,Medium,1,92.0
0.40000000000000036,9.77,No,9,3.0,High,0,127.0
1.0099999999999998,8.86,No,6,1.0,Low,0,123.0
2.37,7.93,Yes,6,3.0,Low,0,123.0
4.72,5.0,No,8,0.0,High,1,113.0
2.2699999999999996,7.96,No,3,1.0,High,1,110.0
3.96,6.38,No,3,1.0,Low,1,87.0
3.45,6.89,Yes,1,4.0,High,1,102.0
1.0299999999999994,9.03,No,7,2.0,Low,0,133.0
2.76,7.44,Yes,1,,Low,0,103.0
1.0899999999999999,9.3,No,4,2.0,Medium,0,131.0
3.51,6.72,Yes,2,3.0,Low,0,117.0
4.92,5.41,Yes,7,4.0,High,0,118.0
4.78,4.87,Yes,10,1.0,Medium,1,105.0
1.8200000000000003,7.86,No,2,3.0,Low,1,111.0
4.71,5.42,Yes,6,4.0,Low,1,117.0
1.6600000000000001,8.37,No,2,4.0,Low,0,129.0
4.64,5.68,Yes,4,1.0,High,0,91.0
4.33,5.72,No,6,3.0,Medium,0,108.0
0.5,9.09,Yes,9,0.0,High,1,121.0
2.9000000000000004,7.5,No,9,4.0,Medium,0,120.0
3.58,6.58,Yes,6,4.0,Low,1,129.0
3.0999999999999996,6.87,Yes,6,2.0,High,0,125.0
1.5700000000000003,8.87,No,6,,High,1,120.0
0.3000000000000007,9.47,No,3,0.0,Low,0,133.0
2.62,7.57,No,6,3.0,High,1,121.0
1.2699999999999996,8.39,No,7,3.0,Medium,0,124.0
