id,vendor_id,pickup_datetime,passenger_count,trip_duration
id2793718,2,2016-06-08 07:36:19,1,1040
id3485529,2,2016-04-03 12:58:11,1,827
id1816614,2,2016-06-05 02:49:13,5,614
id1050851,2,2016-05-05 17:18:27,2,867
id0140657,1,2016-05-12 17:43:38,4,4967
id2734699,2,2016-04-14 12:17:42,3,374
id2151697,2,2016-03-17 21:10:43,1,1252
id3635863,1,2016-02-05 06:43:21,1,148
id2169697,2,2016-03-22 14:08:02,1,1499
id2225613,1,2016-03-29 23:32:47,1,1017
id1421171,2,2016-06-13 22:40:11,6,958
id2184050,1,2016-02-02 08:10:25,1,230
id0088775,2,2016-04-14 18:29:44,1,2971
id2753255,1,2016-02-21 02:02:26,3,1027
id0094298,1,2016-04-18 20:45:20,1,579
id3555558,1,2016-02-14 08:32:03,3,140
id2376644,2,2016-05-16 16:24:41,1,4946
id1230554,1,2016-03-12 19:13:40,1,1167
id3608580,1,2016-03-14 10:19:47,1,953
id0089807,2,2016-06-17 00:54:50,1,1004
id0742428,1,2016-06-05 16:07:32,3,1107
id0874642,2,2016-06-10 01:45:44,1,1748
id2388884,1,2016-05-09 12:04:48,1,470
id0082086,1,2016-04-29 11:55:30,1,1268
id0665477,1,2016-01-03 15:00:21,1,1373
id1425762,2,2016-04-12 20:36:27,2,702
id0579956,1,2016-04-12 13:37:20,2,1417
id2479944,1,2016-06-13 16:40:01,1,1618
id0951848,2,2016-06-24 22:41:30,1,696
id0289113,1,2016-02-18 20:14:36,1,525
id2813215,1,2016-03-06 13:54:57,1,1321
id0822876,2,2016-01-16 23:36:59,1,787
id3536373,1,2016-02-14 17:26:54,1,1247
id3597488,2,2016-04-03 01:45:18,1,1408
id2759252,2,2016-02-27 09:36:49,2,390
id2337460,2,2016-05-24 09:17:11,2,585
id1159360,2,2016-01-25 15:46:47,1,794
id3102608,1,2016-05-14 19:49:33,2,1134
id3700578,2,2016-02-20 16:08:43,1,296
id1649179,2,2016-02-17 02:09:06,1,219
id3656770,2,2016-06-30 10:34:15,1,894
id3675618,2,2016-02-28 18:47:50,1,559
id0805555,2,2016-04-25 18:50:37,4,614
id3854266,2,2016-02-25 21:18:52,2,983
id2950940,2,2016-06-16 11:42:14,1,1370
id3893146,1,2016-03-20 20:20:32,1,1796
id3362627,2,2016-06-09 21:26:26,2,221
id0578870,1,2016-04-14 16:24:43,1,391
id1203105,1,2016-03-14 23:20:23,1,348
id1008684,1,2016-01-04 07:23:49,1,520
id3996332,2,2016-01-27 00:14:52,1,1282
id0955277,2,2016-03-05 11:44:13,1,713
id3292037,1,2016-02-18 22:31:03,2,293
id0541523,1,2016-02-17 17:30:15,1,619
id1155968,2,2016-06-26 10:46:11,2,702
id2909600,2,2016-03-26 17:14:35,1,812
id2474032,1,2016-01-27 20:07:52,1,827
id0953783,1,2016-04-01 02:08:29,1,464
id3776808,1,2016-05-20 03:43:01,1,354
id2331909,2,2016-01-30 14:16:47,1,894
id1599128,2,2016-06-02 07:20:00,1,769
id0924831,1,2016-03-29 18:35:44,1,1585
id1106419,2,2016-05-31 10:49:14,1,2980
id0705355,2,2016-05-07 21:55:11,1,26
id0996733,1,2016-03-12 05:08:40,1,955
id2887457,2,2016-01-28 20:46:52,1,536
id2755380,1,2016-01-15 20:16:03,1,881
id2394980,2,2016-06-07 19:21:39,1,1212
id1850083,2,2016-05-11 14:16:32,1,1123
id0498666,2,2016-06-18 08:18:26,1,1029
id1259494,1,2016-01-01 04:15:37,1,757
id3968230,2,2016-04-16 00:10:25,3,772
id2259394,2,2016-04-03 13:26:41,1,415
id0432571,1,2016-04-29 22:46:59,1,1586
id1019079,2,2016-04-05 14:54:11,1,641
id2823259,1,2016-04-30 20:07:53,1,489
id3164227,2,2016-04-01 20:44:36,1,1048
id2716416,1,2016-06-07 14:05:27,1,378
id3753269,2,2016-04-15 06:05:52,1,617
id2187882,1,2016-02-26 18:48:43,1,508
id0398188,1,2016-05-21 21:32:58,1,1062
id0762407,2,2016-03-23 16:27:08,1,142
id3412994,2,2016-06-22 10:11:22,2,952
id1433474,1,2016-03-23 20:50:15,1,236
