trip_id,route_type
id0592525,пригородный
id2639085,пригородный
id2656969,городской
id2673926,междугородний
id0931244,междугородний
id3795029,пригородный
id1317587,междугородний
id1658028,аэропорт
id2456595,пригородный
id3665766,аэропорт
id0757103,городской
id3940215,пригородный
id3569045,междугородний
id3109606,аэропорт
id2156623,междугородний
id3480879,аэропорт
id1787454,аэропорт
id2788452,аэропорт
id1915064,пригородный
id0621089,междугородний
id3462611,городской
id1949139,междугородний
id3201900,аэропорт
id3633932,городской
id2658502,междугородний
id0192194,междугородний
id2406541,городской
id0821942,междугородний
id1037482,пригородный
id2203238,междугородний
id3436465,городской
id1481471,аэропорт
id1053390,городской
id3082699,пригородный
id3838236,пригородный
id1782523,городской
id2665417,аэропорт
id1278659,городской
id3900828,пригородный
id2155288,городской
id1100631,пригородный
id0291483,аэропорт
id2508637,пригородный
id2023847,междугородний
id1290779,аэропорт
id1737332,междугородний
id2600801,аэропорт
id3119190,городской
id0073952,городской
id2195624,аэропорт
id1368510,пригородный
id0400953,городской
id1902314,городской
id3323925,пригородный
id0335679,междугородний
id0168688,пригородный
id3582237,междугородний
id0315777,городской
id2773754,городской
id2049602,городской
id3972454,аэропорт
id0984536,пригородный
id2798975,аэропорт
id0020206,пригородный
id0850557,городской
id3487688,городской
id0315094,междугородний
id0809234,междугородний
id1390059,междугородний
id3759810,пригородный
id1992519,городской
id3069003,аэропорт
id0419258,городской
id2901506,пригородный
id3880779,пригородный
id0321861,городской
id1170546,междугородний
id0362805,аэропорт
id0071983,междугородний
id2128883,междугородний
id0804528,городской
id1382695,междугородний
id0914245,городской
id3783312,междугородний
id0097115,междугородний
id2592879,городской
id3980851,пригородный
id2546623,городской
id0181095,аэропорт
id3247257,пригородный
id3574457,пригородный
id2020361,пригородный
id0696953,междугородний
id2941830,междугородний
id2301445,городской
id1787100,междугородний
id0576926,междугородний
id3562534,пригородный
id0496538,аэропорт
id1015531,аэропорт
id1174981,пригородный
id0529557,аэропорт
id2646451,городской
id1443804,городской
id1641885,аэропорт
id3553550,аэропорт
id1659730,городской
id0367862,городской
id3617742,междугородний
id0107262,городской
id3664129,аэропорт
id3543003,пригородный
id0197111,междугородний
id1307001,междугородний
id3356529,аэропорт
id1170391,пригородный
id1970747,пригородный
id2576171,междугородний
id1629367,аэропорт
id1685090,аэропорт
id1717120,городской
id2842143,междугородний
id2954355,пригородный
id2211608,пригородный
id0922895,городской
id3091459,городской
id3913733,аэропорт
id2778974,аэропорт
id1888538,городской
id0959049,аэропорт
id2309200,междугородний
id0840530,аэропорт
id3723614,аэропорт
id2905463,аэропорт
id0059475,междугородний
id3349372,междугородний
id2782427,аэропорт
id3848312,пригородный
id2980252,междугородний
id3163390,аэропорт
id1462509,междугородний
id3037990,городской
id1611679,междугородний
id2537371,пригородный
id0206479,городской
id2715899,аэропорт
id1705975,междугородний
id2888718,пригородный
id3409063,междугородний
id0962563,междугородний
id2684249,городской
id2597528,городской
